Student_ID,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level
S1000,Yes,High School,Medium
S1001,Yes,None,Medium
S1002,Yes,Master's,Low
S1003,Yes,High School,High
S1004,Yes,High School,High
S1005,Yes,PhD,High
S1006,Yes,,Low
S1007,No,None,Medium
S1008,No,Bachelor's,Low
S1009,Yes,None,Medium
S1010,Yes,High School,Low
S1011,Yes,Master's,Low
S1012,Yes,Master's,High
S1013,Yes,None,Medium
S1014,Yes,None,Low
S1015,Yes,None,High
S1016,Yes,None,Low
S1017,No,PhD,Medium
S1018,Yes,None,Medium
S1019,Yes,PhD,Low
S1020,Yes,High School,Medium
S1021,Yes,None,Low
S1022,Yes,None,Low
S1023,Yes,Master's,Low
S1024,Yes,High School,Low
S1025,Yes,High School,High
S1026,Yes,None,Low
S1027,Yes,,Medium
S1028,Yes,Bachelor's,Low
S1029,Yes,Master's,High
S1030,Yes,High School,Medium
S1031,Yes,Bachelor's,Low
S1032,Yes,None,Medium
S1033,Yes,Master's,Low
S1034,Yes,Master's,Low
S1035,Yes,,Medium
S1036,Yes,Bachelor's,Low
S1037,Yes,,Low
S1038,Yes,Master's,Medium
S1039,Yes,Bachelor's,Low
S1040,Yes,PhD,Low
S1041,Yes,Bachelor's,Medium
S1042,Yes,Bachelor's,Low
S1043,Yes,Bachelor's,High
S1044,Yes,Master's,Medium
S1045,Yes,,Low
S1046,Yes,Master's,Low
S1047,Yes,Master's,High
S1048,Yes,Master's,Medium
S1049,Yes,Master's,Low
S1050,Yes,,Low
S1051,Yes,PhD,Medium
S1052,Yes,,Low
S1053,Yes,High School,Medium
S1054,Yes,High School,Medium
S1055,Yes,,Medium
S1056,Yes,Bachelor's,Low
S1057,Yes,None,Low
S1058,Yes,,High
S1059,No,Master's,Medium
S1060,Yes,None,Low
S1061,Yes,,Low
S1062,Yes,PhD,Medium
S1063,Yes,Bachelor's,Medium
S1064,Yes,Master's,Low
S1065,No,Master's,High
S1066,Yes,Bachelor's,Low
S1067,Yes,PhD,Low
S1068,Yes,PhD,Low
S1069,Yes,None,High
S1070,Yes,High School,High
S1071,Yes,High School,Low
S1072,No,PhD,Low
S1073,Yes,Bachelor's,High
S1074,Yes,,Low
S1075,Yes,High School,Low
S1076,Yes,,High
S1077,Yes,Bachelor's,High
S1078,Yes,Master's,Medium
S1079,Yes,Bachelor's,Low
S1080,Yes,,High
S1081,Yes,Master's,Low
S1082,Yes,,Low
S1083,Yes,Master's,Medium
S1084,Yes,,High
S1085,Yes,None,Low
S1086,Yes,Master's,Medium
S1087,Yes,PhD,Medium
S1088,Yes,PhD,High
S1089,Yes,Bachelor's,Medium
S1090,Yes,PhD,Medium
S1091,Yes,Bachelor's,Medium
S1092,Yes,PhD,Medium
S1093,Yes,High School,Low
S1094,Yes,High School,High
S1095,Yes,High School,Medium
S1096,Yes,High School,Medium
S1097,Yes,,Medium
S1098,Yes,PhD,Low
S1099,Yes,Master's,Medium
S1100,No,Master's,Medium
S1101,Yes,Master's,Low
S1102,Yes,High School,Low
S1103,Yes,,Medium
S1104,Yes,PhD,Medium
S1105,Yes,,High
S1106,Yes,Bachelor's,Medium
S1107,Yes,High School,Low
S1108,Yes,None,Low
S1109,Yes,None,Medium
S1110,Yes,None,High
S1111,Yes,PhD,Low
S1112,Yes,Bachelor's,Medium
S1113,Yes,High School,Low
S1114,Yes,,Low
S1115,Yes,,Medium
S1116,Yes,Master's,Medium
S1117,Yes,High School,Low
S1118,Yes,High School,High
S1119,Yes,None,Medium
S1120,Yes,,Medium
S1121,Yes,None,Medium
S1122,Yes,,Low
S1123,Yes,PhD,High
S1124,Yes,PhD,Medium
S1125,Yes,Bachelor's,High
S1126,Yes,,Low
S1127,Yes,Bachelor's,High
S1128,Yes,PhD,Low
S1129,No,Master's,Low
S1130,Yes,High School,Low
S1131,Yes,PhD,High
S1132,Yes,,Low
S1133,Yes,Master's,Medium
S1134,Yes,None,Low
S1135,Yes,Master's,Low
S1136,Yes,PhD,Medium
S1137,Yes,,High
S1138,Yes,,Low
S1139,Yes,,Medium
S1140,Yes,Bachelor's,Medium
S1141,Yes,,Low
S1142,Yes,,High
S1143,Yes,PhD,Medium
S1144,Yes,Bachelor's,High
S1145,Yes,None,Low
S1146,Yes,Bachelor's,Low
S1147,Yes,Bachelor's,Medium
S1148,Yes,,High
S1149,Yes,PhD,Low
S1150,Yes,High School,Low
S1151,Yes,PhD,Medium
S1152,Yes,PhD,Low
S1153,Yes,None,Medium
S1154,Yes,None,Low
S1155,Yes,None,Medium
S1156,Yes,High School,High
S1157,Yes,Bachelor's,Low
S1158,Yes,High School,High
S1159,Yes,Bachelor's,Low
S1160,Yes,High School,Medium
S1161,Yes,,Low
S1162,Yes,PhD,Low
S1163,Yes,Bachelor's,Medium
S1164,Yes,Bachelor's,Medium
S1165,Yes,Bachelor's,Medium
S1166,Yes,Master's,Low
S1167,Yes,None,Medium
S1168,Yes,Master's,Low
S1169,Yes,,Low
S1170,Yes,,Medium
S1171,Yes,PhD,High
S1172,Yes,Bachelor's,Medium
S1173,Yes,,Low
S1174,Yes,Bachelor's,High
S1175,Yes,Master's,Low
S1176,Yes,None,Medium
S1177,Yes,,Low
S1178,No,Master's,Medium
S1179,Yes,,Low
S1180,Yes,PhD,Medium
S1181,No,None,Medium
S1182,No,PhD,High
S1183,Yes,Bachelor's,Low
S1184,Yes,Master's,Low
S1185,No,,Low
S1186,Yes,None,High
S1187,No,None,High
S1188,No,Master's,Low
S1189,No,High School,Low
S1190,No,Master's,Medium
S1191,Yes,,Medium
S1192,Yes,,Low
S1193,Yes,,Medium
S1194,Yes,Master's,Low
S1195,Yes,PhD,Low
S1196,Yes,None,Medium
S1197,Yes,Master's,High
S1198,Yes,High School,High
S1199,Yes,Bachelor's,Medium
S1200,Yes,PhD,High
S1201,Yes,PhD,Low
S1202,Yes,Master's,Low
S1203,Yes,Bachelor's,Low
S1204,Yes,Bachelor's,Low
S1205,Yes,None,Medium
S1206,Yes,Master's,Low
S1207,Yes,PhD,Medium
S1208,Yes,,Medium
S1209,Yes,PhD,High
S1210,Yes,None,Medium
S1211,Yes,Master's,Low
S1212,No,None,Medium
S1213,Yes,None,Medium
S1214,Yes,,Medium
S1215,Yes,Bachelor's,Low
S1216,Yes,PhD,Low
S1217,Yes,,Low
S1218,Yes,Master's,Low
S1219,Yes,Master's,Low
S1220,Yes,None,Low
S1221,Yes,PhD,High
S1222,Yes,,Low
S1223,No,None,Medium
S1224,Yes,PhD,Medium
S1225,Yes,Master's,Medium
S1226,Yes,,Low
S1227,No,None,Medium
S1228,Yes,Master's,Medium
S1229,Yes,High School,High
S1230,Yes,None,Low
S1231,Yes,Master's,Medium
S1232,Yes,,High
S1233,Yes,Bachelor's,Low
S1234,Yes,High School,Medium
S1235,Yes,,Low
S1236,Yes,PhD,Low
S1237,Yes,None,High
S1238,No,,Low
S1239,Yes,Bachelor's,Medium
S1240,Yes,,Medium
S1241,Yes,None,Low
S1242,Yes,PhD,High
S1243,Yes,High School,Low
S1244,No,High School,Low
S1245,No,Bachelor's,Low
S1246,Yes,None,Medium
S1247,Yes,High School,Low
S1248,Yes,Bachelor's,Medium
S1249,Yes,PhD,Medium
S1250,Yes,,Low
S1251,Yes,Bachelor's,Medium
S1252,Yes,Bachelor's,Medium
S1253,Yes,None,High
S1254,Yes,Bachelor's,High
S1255,Yes,PhD,High
S1256,No,High School,Low
S1257,Yes,,Medium
S1258,Yes,,Medium
S1259,Yes,Master's,Low
S1260,Yes,Bachelor's,High
S1261,Yes,None,Low
