Student_ID,Department,Attendance_in_percent,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S1000,Engineering,52.29,55.03,57.82,84.22,74.06,3.99,85.9,56.09,F
S1001,Engineering,97.27,97.23,45.8,,94.24,8.32,55.65,50.64,A
S1002,Business,57.19,67.05,93.68,67.7,85.7,5.05,73.79,70.3,D
S1003,Mathematics,95.15,47.79,80.63,66.06,93.51,6.54,92.12,61.63,A
S1004,CS,54.18,46.59,78.89,96.85,83.7,5.97,68.42,66.13,F
S1005,Engineering,,78.85,43.53,71.4,52.2,6.38,67.29,62.08,B
S1006,Business,57.6,66.26,89.07,84.52,98.4,2.3,93.65,83.21,F
S1007,Engineering,51.91,45.67,73.96,80.12,95.9,3.73,93.24,81.93,F
S1008,CS,85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,A
S1009,Engineering,64.01,87.96,98.47,96.98,55.63,5.88,78.6,84.99,A
S1010,CS,85.72,83.52,97.43,67.29,76.95,4.59,97.62,58.25,A
S1011,Engineering,77.75,52.14,91.37,52.24,87.85,7.61,90.95,87.58,C
S1012,Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,F
S1013,Business,96.61,40.64,93.14,66.78,56.82,4.37,81.48,77.93,A
S1014,Engineering,72.62,58.31,44.5,54.64,75.53,1.81,56.09,53.85,B
S1015,CS,86.72,63.93,91.07,81,66.88,6.14,77.57,52.37,A
S1016,CS,75.05,90.11,56.81,67.34,67.59,8.48,63.16,73.21,F
S1017,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,F
S1018,CS,65.14,40.68,42.28,50.34,94.28,9.44,56.29,65.33,B
S1019,Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,66.94,D
S1020,CS,77.13,69.94,46.7,,84.38,7.72,74.07,88.47,D
S1021,Business,72.01,96.94,64.64,82.97,83,2.87,80.02,66.63,C
S1022,Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,74.72,C
S1023,CS,83.63,50.85,81.72,58.58,65.54,4.48,89.61,88.63,D
S1024,CS,84.53,51.11,40.36,55.59,68.89,9.94,76.05,60.24,A
S1025,Business,52.3,49.8,64.18,57.63,65.79,4.13,81.9,90.24,C
S1026,Engineering,66.94,87.34,42.52,62.34,95.87,1.99,63.91,91.59,A
S1027,Business,70.59,40.36,80.41,58.41,91.33,9.44,90.71,99.44,D
S1028,Business,54.84,47.63,98.14,83.7,78.97,3.86,81.21,72.2,D
S1029,Mathematics,61.8,72.28,79.32,71.04,95.61,6.91,93.12,68.53,A
S1030,CS,52.58,54.85,53.46,76.89,94.32,7.88,58,85.1,F
S1031,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,52.91,B
S1032,CS,,61.59,98.6,93.06,61.09,8.21,55.65,51.99,D
S1033,CS,54.37,56.45,53.44,58.53,85.88,8.36,60.78,66.75,D
